time,open,high,low,close,volume,ticker
2020-06-08,6450,6750,6450,6600,69360,ITD
2020-06-09,6600,6820,6500,6820,84110,ITD
2020-06-10,6600,6820,6530,6820,10720,ITD
2020-06-11,6610,6820,6610,6610,10320,ITD
2020-06-12,6610,6610,6310,6380,20020,ITD
2020-06-15,6380,6530,6340,6530,8640,ITD
2020-06-16,6450,6670,6420,6670,19200,ITD
2020-06-17,6590,6780,6530,6670,115040,ITD
2020-06-18,6670,6960,6670,6960,29160,ITD
2020-06-19,6960,6960,6670,6940,58030,ITD
2020-06-22,6960,6960,6670,6940,101600,ITD
2020-06-23,6930,6960,6890,6890,47870,ITD
2020-06-24,6890,6900,6820,6820,76440,ITD
2020-06-25,6450,6860,6450,6810,12300,ITD
2020-06-26,6780,6810,6600,6810,13980,ITD
2020-06-29,6600,6800,6600,6750,11880,ITD
2020-06-30,6640,6770,6610,6750,14400,ITD
2020-07-01,6610,6820,6600,6780,14530,ITD
2020-07-02,6600,6780,6600,6780,850,ITD
2020-07-03,6600,6780,6600,6760,10280,ITD
2020-07-06,6750,6750,6600,6670,690,ITD
2020-07-07,6600,6750,6600,6750,26970,ITD
2020-07-08,6670,6670,6570,6670,20660,ITD
2020-07-09,6670,6670,6600,6670,880,ITD
2020-07-10,6670,6750,6670,6750,11970,ITD
2020-07-13,6750,6750,6750,6750,3160,ITD
2020-07-14,6610,6710,6600,6710,3640,ITD
2020-07-15,6710,6750,6710,6750,7910,ITD
2020-07-16,6750,6750,6750,6750,110,ITD
2020-07-17,6620,6710,6600,6710,280,ITD
2020-07-20,6740,6750,6670,6670,2950,ITD
2020-07-21,6670,6670,6600,6600,23370,ITD
2020-07-22,6710,6710,6640,6710,20760,ITD
2020-07-23,6750,7040,6600,6750,6210,ITD
2020-07-24,6750,6750,6600,6660,840,ITD
2020-07-27,6670,6670,6200,6610,30910,ITD
2020-07-28,6530,6610,6530,6610,43380,ITD
2020-07-29,6660,6660,6310,6640,450,ITD
2020-07-30,6640,6640,6320,6320,220,ITD
2020-07-31,6600,6620,6320,6590,10130,ITD
2020-08-03,6590,6970,6560,6560,2060,ITD
2020-08-04,6630,6630,6480,6600,1140,ITD
2020-08-05,6630,6630,6310,6600,5950,ITD
2020-08-06,6480,6580,6450,6580,8110,ITD
2020-08-07,6670,6670,6450,6590,240,ITD
2020-08-10,6600,6600,6420,6600,5740,ITD
2020-08-11,6530,6600,6450,6450,32540,ITD
2020-08-12,6600,6600,6450,6530,1710,ITD
2020-08-13,6600,6600,6530,6530,5930,ITD
2020-08-14,6510,6600,6450,6600,6050,ITD
2020-08-17,6600,6600,6560,6590,36740,ITD
2020-08-18,6560,6560,6560,6560,18520,ITD
2020-08-19,6590,6590,6530,6590,12760,ITD
2020-08-20,6590,6590,6530,6590,13210,ITD
2020-08-21,6590,6590,6530,6560,14740,ITD
2020-08-24,6560,6590,6540,6560,35430,ITD
2020-08-25,6560,6570,6540,6560,15390,ITD
2020-08-26,6570,6890,6570,6670,25870,ITD
2020-08-27,6590,7110,6590,7110,97960,ITD
2020-08-28,7110,7110,7070,7070,126500,ITD
2020-08-31,7050,7070,6600,6750,11650,ITD
2020-09-01,6750,7040,6750,6930,53960,ITD
2020-09-03,6850,6930,6780,6890,56530,ITD
2020-09-04,6960,6960,6830,6960,16200,ITD
2020-09-07,6900,6960,6890,6960,26100,ITD
2020-09-08,6910,7080,6860,7080,48660,ITD
2020-09-09,7040,7190,6970,7150,11500,ITD
2020-09-10,7150,7150,6970,6970,18220,ITD
2020-09-11,6970,7110,6970,7110,18290,ITD
2020-09-14,7110,7110,6860,7110,10220,ITD
2020-09-15,6930,7040,6930,6970,3630,ITD
2020-09-16,6970,7180,6970,7110,11080,ITD
2020-09-17,7110,7590,7110,7330,19880,ITD
2020-09-18,7190,7330,7190,7330,950,ITD
